时装豪礼,Hào Lễ Thời Trang
[10星]~[12星]护甲,[10 Sao]~[12 Sao] Giáp
竹弓泡面香大人的指引,Hướng dẫn Mì Ăn Liền Hảo Hảo
{p}在时空激斗豪取15连胜！,{p}Thời Không Quyết Đấu thắng 15 lần liên tiếp!
专属祭司,Thầy Tế Riêng
敏攻8星装备宝箱,Rương Trang Bị Tấn Công 8 Sao
每层提升10%攻击力，10%暴击率；每次行动会移除1层。,"Mỗi tầng tăng 10% tấn công, 10% bạo, mỗi lần ra đòn sẽ mất 1 tầng."
实诚,Chân Thành
%s天赋已提升至%s级,Thiên Phú %s đã lên cấp %s
锻造熔炉-装备洗炼每重铸1次，提升全体英雄34点攻击力与403点生命值(每周最多触发5次，上限70次),"Mỗi lần tẩy luyện trang bị trong Lò Rèn, tăng 34 điểm tấn công và 403 điểm HP cho toàn bộ tướng (giới hạn 5 lần/tuần, tối đa 70 lần)"
迷宫, Mê Cung
每回合增加自身8点能量。,Tăng 8đ năng lượng cho bản thân mỗi lượt
流浪,Lang Thang
灵风护体-公会BOSS版,Gió Lành-BOSS Bang
神领域,Cõi Thần
傻妹妹！快带着大家回到凛岚屿！我们不是他们的对手！,Em gái! Đưa mọi người trở lại Đảo Rinlan! Chúng ta không phải là đối thủ của họ!
但你犯下了大错，你不该如此软弱，以至于被敌人的幻影士兵轻易的迷惑了……我希望你能够明白。,"Nhưng ngươi đã phạm phải sai lầm lớn, không nên nhu nhược đến mức dễ bị sĩ binh ảo ảnh của kẻ địch làm cho mê muội ... "
有人说塞利姆制造了一个裂隙，在那儿，魔法的光照耀进这个晦暗无趣的世界；那时他可曾想过，有朝一日，魔法将会毁掉魔法之城，而在那里，伤痛的裂隙遍地都是。,"Tương truyền, Selim đã tạo ra vết nứt nơi ánh sáng ma thuật chiếu vào thế giới tăm tối. Anh đã nghĩ rằng một ngày nào đó ma thuật sẽ phá hủy thành phố và những vết nứt xuất hiện ở khắp mọi nơi."
燃烧减伤,Giảm sát thương thiêu đốt
在前排怪物全部阵亡前，中后排怪物受到伤害下降40%,"Khi toàn bộ quái hàng trước tử vong, giảm 40% sát thương quái hàng giữa và sau"
PVP战斗中，我方英雄前2回合受到魔法伤害降低8%。,"Khi PvP, giảm 8% sát thương phép đồng đội nhận phải trong 2 lượt đầu"
<color=#D39D0D>凯</color>在试炼内攻击力和暴击率提升<color=#bde141>10%</color><br/><color=#D39D0D>全体英雄</color>在试炼内攻击力提升<color=#bde141>100</color>，最大生命值提升<color=#bde141>500</color>,"<color=#D39D0D>Branium</color> trong Thí Luyện, tăng <color=#bde141>10%</color> tấn công và bạo kích<br/><color=#D39D0D>Toàn bộ tướng</color> trong Thí Luyện, tăng <color=#bde141>100</color> điểm tấn công và <color=#bde141>500</color> điểm HP."
完成试炼条件，领取宝箱奖励。,"Hoàn thành yêu cầu thí luyện, nhận rương thưởng.giá trị"
地牢领主-光跃仙鹿每挑战1次，提升全体英雄72点生命值和9点攻击力(上限460次),"Lãnh Chúa Địa Lao - Quang Dược Tiên Lộc, mỗi lần khiêu chiến, toàn bộ tướng +72đ HP và +9đ tấn công (tối đa 460 lần)"
挂机时间：,Thời gian treo máy: 
警告！闯入的陌生人……你们必须立即放下武器，乖乖投降！,Cảnh báo! Kẻ lạ mặt xâm nhập….Các ngươi phải bỏ võ khí đầu hàng!
拥有【孙悟空】获得,Sở hữu [Wukong] nhận
高墙上的法师们对着空中的莉莉丝放出法术，一道道法术形成荆棘举爪向她抓去，危险万分……,"Các pháp sư trên bức tường cao làm phép trên không trung Lilith, các phép thuật tạo thành gai và giơ móng vuốt để tóm lấy cô, điều này cực kỳ nguy hiểm..."
真·斯波比,Thật·Bobby
让我们来搞一场爆炸吧！,Ta là kẻ thanh trừng!
太开心了，终于完成{0}这个历练任务了,"Vui quá, cuối cùng cũng hoàn thành {0} nhiệm vụ rèn luyện này rồi"
罪恶清算(破极技2),Thanh Trừng (Kỹ năng đột phá 2)
【铁意守护】额外提升目标23%免伤，持续2回合。,[Thiết Ý] tăng 23% miễn sát thương cho mục tiêu trong 2 lượt.
阿克斯没有想到，联军竟然还藏有后手，联军阵中出现“巨大禁器”！但最令阿克斯感到意外的还不止如此……,"Alvine không ngờ, Liên quân vẫn còn quân dự bị, ""Cự Đại Cấm Khí"" xuất hiện trong Liên Quân Trận! Nhưng thứ khiến Alvine bất ngờ không chỉ có vậy…"
一键寻宝已停止,Tầm bảo nhanh đã dừng
集齐50个碎片即可召唤【球女】。<br/><br/><color=#bde141>定位：法术群毒</color><br/><color=#bde141>特长：中后排控制系英雄，能附加大量持续性伤害和沉默效果，同时具有极强的减疗效果。</color>,"Thu thập 50 mảnh để triệu hồi [Syn].<br/><br/><color=#bde141>Vị trí: Khống chế</color><br/><color=#bde141>Sở trường: Tướng Khống Chế hàng giữa và sau, có khả năng gây sát thương kèm hiệu ứng Câm Lặng lên tướng địch, khắc chế hiệu quả các tướng trị liệu.</color>"
秘宝总览,Tổng quan Kho Báu
选择一个用来进阶的本体英雄。,Chọn 1 tướng dùng để tiến bậc
328元充值档位,Mốc Nạp 328 GAS
打开后，可以获得一套10星辅助装备,Mở nhận 1 bộ trang bị Hỗ Trợ 10 sao
天后可购买,ngày sau có thể mua
直接获得【玫乐蒂】。,Nhận ngay [Letty].
通关遗忘峡谷【深渊】难度，翻牌有概率获得[9星]~[11星]品质【头盔】,"Vượt Hẻm Núi Lãng Quên [Huyền Thoại], lật thẻ có cơ hội nhận [Mũ] [9 sao]~[11 sao]"
排行榜-进度榜每点赞3次，提升全体英雄4点攻击力与42点生命值(上限132次),"Mỗi 3 lượt Thích trong BXH-Bảng Tiến Độ, tăng 4 điểm tấn công và 42 điểm HP cho toàn bộ tướng (tối đa 132 lần)"
战争印记,Dấu Tích Chiến Tranh
当前排名可获得,Hạng hiện tại nhận
生命值低于50%时，受到伤害的10%转化为自身生命恢复。,"Khi HP < 50%, chuyển 10% sát thương nhận phải thành HP hồi cho bản thân"
使用后可以任选获得一个5星品质的神魔英雄。,Sử dụng để tùy chọn 1 tướng Thiên Thần 5 sao.
"永茂≥5个,辅助≤1个","Hệ Mộc ≥ 5, Hỗ Trợ ≤ 1"
维多利亚虽然布下了陷阱，可却不堪一击。国王失去了守卫，正如雄鹰失去了羽翼，手到擒来。,"Mặc dù Victoria đã đặt bẫy, nhưng cô ấy rất dễ bị tổn thương. Nhà vua mất cảnh giác, giống như con đại bàng mất cánh và bị bắt."
为我方生命比例最低的英雄治疗，恢复150%攻击力的生命值，同时会净化目标的全部负面状态。,"Hồi cho đồng đội có HP thấp nhất lượng HP bằng 150% tấn công bản thân, đồng thời hóa giải mọi hiệu ứng bất lợi."
龙纹烈火扇,Long Vân Liệt Hỏa
我并不是这个意思，我是指我们还需要召集更多的力量！,"Ý ta không phải vậy, ý ta là chúng ta cần tập hợp nhiều sức mạnh hơn!"
守护小队顺着能量信号来到了一个满是熔火流焰的地界。,Đội thủ hộ lần theo tín hiệu năng lượng đến một vùng đất đầy ngọn lửa nóng chảy.
物理高伤,Sát Thương Vật Lý
使用后可以随机获得一个5星品质的降世神恩英雄。,Sử dụng nhận ngẫu nhiên 1 tướng Thiên Thần 5 sao
敏攻·11星·饰品,Tấn Công·11 Sao·Trang Sức
300万,300 vạn
局势逐渐扭转，罗丝逐渐赶到不安……,"Tình thế dần dần đảo ngược, Athena dần cảm thấy bất an."
传说火柴秘宝,Rương Diêm Truyền Thuyết
这……这是什么地方？怪怪的，我怎么感觉指路那家伙不可靠……哇！有蜘蛛网……,"Đây... đây là nơi nào? Thật kỳ lạ, làm sao ta cảm thấy người chỉ đường không đáng tin cậy... Á! Có mạng nhện..."
<color=#D39D0D>克拉娜</color>在试炼内攻击力和暴击率提升<color=#bde156>39%</color><br/><color=#D39D0D>全体英雄</color>在试炼内攻击力提升<color=#bde141>29000</color>，最大生命值提升<color=#bde141>145000</color>,"<color=#D39D0D>Krana</color> trong Thí Luyện, tăng <color=#bde141>39%</color> tấn công và bạo kích<br/><color=#D39D0D>Toàn bộ tướng</color> trong Thí Luyện, tăng <color=#bde141>29000</color> điểm tấn công và <color=#bde141>145000</color> điểm HP."
诡诈面具,Mặt Nạ Quỷ
受到伤害增加,Tăng sát thương nhận phải
解散公会,Giải Tán
爪牙,Tay Sai
以牙还牙,Căng Sức
传奇力量职业套装,Bộ Trang Bị Truyền Kỳ
【群星领域】使敌方攻击力、最终伤害降低17%。,[Vương Quốc Ngôi Sao] giảm 17% tấn công và sát thương cuối của địch
不甘失败,Không chịu bỏ cuộc
凌寒盛放，攻击敌方后排单体，造成253%的魔法伤害，优先攻击后排携带【冰冻】状态的英雄。,"Tấn công một địch ở hàng sau, gây 253% sát thương phép, ưu tiên tấn công địch đang chịu [Đóng Băng]."
罪恶之都-永茂修罗场每通过1场，提升全体英雄48点攻击力与576点生命值(上限36次),"Mỗi lần thắng 1 trận Thành Phố Tội Ác-Chiến Trường Vĩnh Mậu, tăng 48 điểm tấn công và 576 điểm HP cho toàn bộ tướng (tối đa 36 lần)"
中级暴击,Bạo Kích Trung
纹章名录,Danh mục Huy Hiệu
虽然你们这群人实力不错，但是还是缺少像我这样指挥作战的人！,"Đội hình này cũng không tồi, nhưng còn thiếu người chỉ huy tác chiến như ta"
嗜血战刃,Hung Thần
%s已将该英雄从援助英雄中移除,%s đã xóa tướng này khỏi danh sách chi viện
技能4名字I-回血（公会BOSS版）,Kỹ năng 4.1 - Hồi HP (BOSS Bang)
天怒凶兽【遗忘】,Thiên Nộ Hung Thú [Bỏ Quên]
场景道具,Đạo cụ cảnh
迷你,Nhỏ
勇士，恭喜你虚空猎魂boss战活动中达到【%s】伤害，获得如下奖励：,"Chúc mừng bạn trong hoạt động đánh boss săn hồn hư không gây được [%s] sát thương, được nhận thưởng sau:"
我想不必了吧！,Ta thấy không cần đâu!
技能1名字III-单体伤害-打坦克,Kỹ năng 1.3 - Sát thương đơn - Đánh Phòng Ngự
下周六周日开启,"Thứ 7, CN tuần sau mở"
虚空钥匙,Chìa Khóa Hư Không
虔信充能,Tôn Kính
【狩猎】勇敢的{p}讨伐了BOSS，为公会仓库带回了{i}。,"[Săn Bắn] {p} dũng cảm thảo phạt BOSS, mang {i} về cho Bang."
获得战斗胜利,Thắng chiến đấu
通关密海寻宝第{0}层{1}次,Vượt Bí Hải Tầm Bảo tầng {0} {1} lần
每个存活己方目标提升自身3%最终伤害。,Tăng 3% sát thương cuối cho mỗi tướng sống sót
对控制系英雄伤害增加14%。,Tăng 14% sát thương lên tướng Khống Chế.
您愿意投入多少资源去养成纹章系统呢？（单选）,Bạn nguyện đầu tư bao nhiêu tài nguyên cho hệ thống Huy Hiệu? (Chọn 1)
莉莉娅暴击伤害提升20%。,Tăng 20% sát thương bạo cho Liliaya
"    很小的时候，我就能施展威力惊人的雷电魔法。
    这本来不算一件坏事，如果不是那些魔法会经常失控，以至于造成伤亡的话。
    大家害怕受伤，所以都离我远远地。只有泷愿意跟我一起玩。
    她带我在凛岚屿上四处探险。有时候，我的魔法会误伤到她。在我因愧疚而哭泣时，泷反而会假装不痛，强笑着宽慰我。
    我深深依赖她，她就像我的亲姐姐一般。
    可后来，泷变了。","Từ khi còn rất nhỏ, ta đã có thể sử dụng phép thuật tia chớp mạnh mẽ đáng kinh ngạc.
Đây sẽ không phải là một điều tồi tệ, nếu như không có ma thuật thường xuyên lọt khỏi tầm tay, gây ra thương vong.
Mọi người đều sợ bị thương nên tránh xa ta. Chỉ có là sẵn sàng chơi với ta.
Cô ấy đã đưa ta vào một cuộc phiêu lưu quanh Lẫm Lam Tự. Đôi khi, phép thuật của ta làm cô ấy bị thương một cách tình cờ. khi ta khóc vì cảm thấy tội lỗi, sẽ giả vờ rằng không có đau đớn và cố gắng nở một nụ cười để an ủi ta.
Ta rất phụ thuộc vào cô ấy, cô ấy như chị gái ruột của ta.
Nhưng sau này, nó đã thay đổi."
沉眠宝箱,Rương Ngủ Sâu
【剧毒】效果使目标受到所有伤害提升5%。,[Kịch Độc] tăng 5% tất cả sát thương tướng nhận phải
每周,Mỗi tuần
听着，我们现在最需要是时间，不是箭矢。所以，尽管把你们手中的箭都射出去，不要吝惜！哪怕一支箭！,"Nghe này, thứ chúng ta cần nhất lúc này là thời gian chứ không phải là những mũi tên. Vì vậy, hãy bắn hết mũi tên khỏi tay ngươi, đừng keo kiệt! Ngay cả một mũi tên!"
掷出飞速旋转的星法长枪，攻击敌方目标最多一列，造成197%物理伤害。,"Tấn công hàng có nhiều địch nhất, gây 197% sát thương vật lý."
勇者长靴,Giày Chiến Binh
布莱克·冥想,Mũ Blake Toàn Năng
儿子，先和你的父亲逃向圣辉境内，我们在小镇汇合。,"Con trai, cùng cha chạy vào bên trong Thánh Huy trước, chúng ta hội họp ở trấn nhỏ."
科尔他……去世了。,"Cole, anh ấy... đã qua đời."
活动期间，消耗对应数量的年兽徽章，即可兑换珍贵奖励。,"Trong thời gian hoạt động, có thể dùng huy chương Niên Thú để đổi thưởng "
阿男,Leon
击败幻魔，可以获得史诗/传说时空神器。,"Đánh bại ảo ảnh, có cơ hội nhận Thần Khí Thời Không thường/sử thi."
提升,Tăng Cấp
"焰岭≥2个,冥海≤2个","Hệ Hỏa ≥ 2, Hệ Thủy ≤ 2"
技能2等级II-伤害,Kỹ năng 2 cấp 2 - Sát thương
圣辉帝国英雄胜利后获得的徽章，可用于兑换商店的道具；活动结束后以每个50K金币的价格进行回收；,Huy hiệu từ các tướng hệ Kim. Dùng để đổi các vật phẩm trong Shop Đổi. Sự kiện kết thúc thu hồi với giá 50k Vàng/Cái.
受圣辉伤害减少 = 英雄初始百分比 +被动技能百分比+觉醒百分比+装备百分比+天赋百分比+装备附加百分比+神器百分比+法器百分比+迷宫神器百分比+羁绊百分比+神兽百分比,Giảm sát thương hệ Kim = tỷ lệ ban đầu của tướng + tỷ lệ kỹ năng bị động + tỷ lệ thức tỉnh + tỷ lệ trang bị + tỷ lệ thiên phú + tỷ lệ trang bị bổ sung + tỷ lệ thần khí + tỷ lệ pháp khí + tỷ lệ thần khí mê cung + tỷ lệ ràng buộc + tỷ lệ thần thú
龙骨·碎齿战盔,Xương Rồng-Mũ Vỡ Vụn
技能2等级II-治疗,Kỹ năng 2 cấp 2 - Trị liệu
技能效果,Hiệu quả kỹ năng
任意累计充值,Tích nạp bất kỳ
竞技场-荣耀竞技场每点赞3次，提升全体英雄10点攻击力与115点生命值(上限70次),"Mỗi 3 lượt Thích trong Đấu Trường-Đấu Trường Vinh Diệu, tăng 10 điểm tấn công và 115 điểm HP cho toàn bộ tướng (tối đa 70 lần)"
【影刃】达到8星,[Killer] đạt 8 sao
邪恶,Tà Ác
3焰岭3永茂：所有己方英雄攻击时，40%概率使目标陷入【山火】（属于燃烧效果），每回合损失施法者30%攻击力的生命值，持续2回合，己方英雄攻击【山火】目标时暴击伤害提升30%。,"3 hệ Hỏa 3 hệ Mộc: Khi toàn bộ đồng đội tấn công, có 40% tỉ lệ gây [Sơn Hỏa] (hiệu ứng thuộc Thiêu Đốt) lên địch, mỗi lượt mất lượng HP bằng 40% tấn công của tướng công kích trong 2 lượt. Khi tấn công địch đang bị [Sơn Hỏa], tăng 20% sát thương bạo cho bản thân."
"      起先，荧还以为他睡着了。
      可当她略微凑过去时，由层层锁链捆绑住的男人猛地伸头咬来。要不是荧躲闪得及时，怕是半张脸都要被啃去了。
      所幸这锁链够坚固，荧想，能困住凛岚屿最为骁勇的战士。更何况，他如今已被血继诅咒蚕食尽了理智，只剩下恐怖的力量无处发泄。
      荧稍微后退了一些，盘腿坐下，开始在男人歇斯底里的狂吼声中娓娓讲述自己一日的见闻。
      都是些琐碎无趣的事情，荧自己如此认为。好在他明显也不是一个好的听众。于是她接着说下去，他的吼叫声没有一刻停息。
      在外人看来十分滑稽的事，荧已经连着做了两个月。当医师说，不断的语言沟通或许能重新唤醒病人的理智时，她便决定亲自来成为这个沟通者。
      这与她对他不加掩饰的爱恋并无关系，与她过去曾热烈地追求他并无关系。
      如果不是男人在关键时候奋力将她推开，那么被捆在这儿、怪嚎不止的就会是她自己了。
      “如果是我变成了你现在的模样，你会每天来这儿，将自己的故事说给我听吗？”荧起身，望着男人的脸庞说。
      她得到的回答是一连串刺耳的怪吼。
      走出关押男人的地牢后，荧见到了在此等候的阎罗刺成员。
      “找到他们的踪迹了。”那人开口道，“这些懦夫就藏在凄嚎岭里边。”
      “那还等什么呢？”荧说，“有些仇，今天就得报了。”","Lúc đầu, Stamira nghĩ rằng anh ta đã ngủ.
Nhưng khi cô hơi nghiêng người, người đàn ông bị trói bởi nhiều lớp xiềng xích đột nhiên vươn đầu ra và cắn cô. Nếu Stamira không né kịp thời, một nửa khuôn mặt của cô đã bị ăn mất.
May mắn thay, sợi xích đủ mạnh để bẫy những chiến binh dũng cảm nhất ở Lẫm Lam Tự. Hơn nữa, bây giờ anh ta đã bị nuốt chửng bởi lời nguyền máu, chỉ còn lại sức mạnh đáng sợ không nơi nào trút được.
Stamira lùi lại một chút, khoanh chân ngồi xuống và bắt đầu kể lại những trải nghiệm trong ngày của mình giữa tiếng gầm rú cuồng loạn của người đàn ông.
Tất cả đều là những thứ tầm thường và nhàm chán, Stamira nghĩ vậy. May mắn thay, anh ấy rõ ràng không phải là một người biết lắng nghe. Vì vậy, cô tiếp tục, và tiếng gầm của anh ta không dừng lại trong giây lát.
Stamira đã làm những điều rất buồn cười đối với người ngoài trong hai tháng liên tiếp. khi bác sĩ nói rằng giao tiếp bằng lời nói liên tục có thể đánh thức sự tỉnh táo của bệnh nhân, cô ấy đã quyết định tự mình là người giao tiếp.
Nó không liên quan gì đến tình yêu không nao núng của cô dành cho anh, hay sự theo đuổi nhiệt tình của cô đối với anh trong quá khứ.
Nếu không phải do người đàn ông cố gắng đẩy cô ra vào thời khắc mấu chốt, thì chính bản thân cô đã bị trói ở đây và không ngừng gào thét.
“Nếu ta trở thành như bây giờ, liệu bạn có đến đây mỗi ngày và kể cho ta nghe câu chuyện của mình không?” Stamira đứng dậy và nói, nhìn vào khuôn mặt của người đàn ông.
Câu trả lời cô nhận được là hàng loạt tiếng hét xuyên thấu.
Sau khi bước ra khỏi ngục tối nơi những người đàn ông đang bị giam giữ, Stamira gặp các thành viên của Diêm La Thứ đang đợi ở đây.
""ta đã tìm thấy dấu vết của chúng"", người đàn ông nói - ""Những kẻ hèn nhát này đang ẩn náu trong dãy núi Thê Hào Lĩnh.""
“Vậy thì anh còn chờ gì nữa?” Stamira nói, “ta có một món nợ, và ta phải trả thù nó hôm nay.”"
其他公会对阵,Bang Khác
<color=#D39D0D>克拉娜</color>在试炼内攻击力和暴击率提升<color=#bde141>10%</color><br/><color=#D39D0D>全体英雄</color>在试炼内攻击力提升<color=#bde141>100</color>，最大生命值提升<color=#bde141>500</color>,"<color=#D39D0D>Krana</color> trong Thí Luyện, tăng <color=#bde141>10%</color> tấn công và bạo kích<br/><color=#D39D0D>Toàn bộ tướng</color> trong Thí Luyện, tăng <color=#bde141>100</color> điểm tấn công và <color=#bde141>500</color> điểm HP."
背包—魂石,Túi-Hồn Thạch
皇家礼盒,Rương Hoàng Gia
累计充值{0}元可解锁{1}({2}/{3}),Tích nạp {0} GAS để mở khóa {1}({2}/{3})
永夜山谷,Thung Lũng Vi Diệu
这么多人欺负一个算什么好汉！,Ỷ đông hiếp yếu như vậy còn gì là anh hùng!
图尔托在场时，我方英雄受到【燃烧】伤害降低20%。,"Khi Turto còn trong trận, giảm 20% sát thương nhận phải cho đồng đội đang chịu [Thiêu Đốt]"
克拉娜剧情本11层,Krana Cốt Truyện Tập 11
等级：,Cấp:
英雄转生,Chuyển Sinh Tướng
物理伤害提升至137%，有35%的概率附加【降疗】效果，持续2回合。,"Tăng 137% sát thương vật lý, có 35% tỉ lệ gây [Giảm Trị Liệu], duy trì 2 lượt."
每次切换形态恢复自身已损生命值的8%。,"Mỗi lần biến hình, hồi cho bản thân 8% HP đã mất"
像新手嘉年华一样的活动 battlepass,Hoạt động giống tân thủ Hóa Trang Mùa Xuân battlepass
空间转换器,Máy Đổi Không Gian
德古拉被克罗可的时间之器吸入了扭曲空间，从而被传回了迷泽森林，德古拉再次陷入困局。,"Dracula bị Máy Thời Gian của Darek hút vào không gian xoắn và đưa trở lại Rừng Đầm Mơ. Tại đây, hắn lại gặp rắc rối."
造成的物理伤害提升至180%。,Tăng 180% sát thương vật lý
术师,Thuật Sư
聆愿概率,Tỉ lệ Linh Nguyện
艾莎存活时，我方女性英雄受到男性英雄伤害降低30%。,"Khi Aisha còn sống, giảm 30% sát thương đồng đội Nữ Giới nhận từ địch là Nam Giới"
这个发光的东西似曾相识，我的记忆里好像有见过……,"Thứ phát sáng này có cảm giác quen thuộc, dường như ta đã thấy nó trong trí nhớ của mình..."
第33章,Chương 33
英雄生命下降到40%时立即恢复最大生命值的15%。（每场战斗只触发1次）,"Khi HP tướng giảm còn 40%, lập tức hồi 15% tổng HP. (Kích hoạt 1 lần/trận)"
帝国印记,Ấn Ký Đế Quốc
啪！……随着铁拳的宣判，罗丝的手下蒂凡尼被当场枪决。," ... Sau khi Kubo tuyên án, Athena's Tiffany bị bắn ngay tại chỗ."
球女感受到了凯的气息，正一步步向凯逼近，此时的凯背着冰棺无法迅速逃离，只能看着危机到来……,"Syn cảm nhận được hơi thở của Branium và đang từng bước áp sát Branium. Lúc này, Branium không thể chạy thoát nhanh chóng với chiếc quan tài băng trên lưng, chỉ có thể nhìn mối nguy hiểm ập đến..."
完成了{1}个{0}星酒馆悬赏任务,Hoàn thành {1} nhiệm vụ treo thưởng Tửu Quán {0} sao
战役投资第2阶,Đầu tư Chiến Dịch bậc 2
恢复存活友方英雄12%最大生命值。,Hồi 12% tổng HP cho toàn bộ đồng đội còn sống.
本周已领取奖励，请下周再来领取奖励,Đã nhận thưởng tuần này
浴火之躯(破极技1),Nóng Bỏng (Kỹ năng đột phá 1)
每回合开始时有60%概率使自身受到伤害降低10%，持续1回合（若存在同系列技能则取效果更高者）,"Khi bắt đầu mỗi lượt, có 60% tỉ lệ giảm 10% sát thương bản thân nhận phải, kéo dài 1 lượt (Nếu có nhiều hiệu ứng giống nhau, lấy hiệu ứng có hiệu quả cao nhất)"
这些家伙挺难对付，但好歹我们赢了。,"Đám này rất khó đối phó, may mà chúng ta thắng rồi."
战斗开始第一轮给玩家每个上阵英雄增加流血DEBUFF，持续15回合，每回合掉落当前生命值1.5%血量,"Chiến đấu lượt đầu tiên, mỗi tướng ra trận nhận hiệu ứng Trúng Độc, kéo dài 15 lượt, mỗi lượt mất 1.5% HP hiện tại"
寒凛气息(破极技4),Băng Giá (Kỹ năng đột phá 4)
线性魔法攻击和投掷型魔法攻击最好不要打到这个斗篷上，除非你能躲过自己的攻击。,Chiếc áo choàng hóa giải mọi đòn tấn công phép thuật mạnh mẽ.
献出你们的鲜血吧！,Dâng cho ta máu tươi của các ngươi!
回合开始时，有75%的概率清除自身所有负面状态。(若存在相同系列技能取效果最高者),"Khi bắt đầu lượt, có 75% tỉ lệ xóa bỏ trạng thái tiêu cực cho bản thân. (Nếu có nhiều hiệu ứng giống nhau, lấy hiệu ứng có hiệu quả cao nhất)"
通关灾厄之塔<color=#bde141>150</color>层，挂机可掉落<color=#aa5acf>5星</color>品质装备,"Vượt Tai Ương Chi Tháp tầng <color=#bde141>150</color>, treo máy có thể rớt trang bị <color=#aa5acf>5 sao</color>"
受到【业火】目标攻击时，恢复59%攻击力*攻击源身上【业火】层数的生命值。,"Khi tấn công tướng đang bị [Nghiệp Hỏa], hồi cho bản thân lượng HP bằng 59% tấn công * Số tầng [Nghiệp Hỏa] địch đang phải chịu."
可恶……得赶紧想个办法……只要哪怕一个办法……,Chết tiệt...phải nhanh chóng tìm cách...dù chỉ là 1 cách...
不，我的队伍还在等我回去。只要迪姆加的恶魔大军没有被全部消灭，我就不会停下我的征程。,"Không, đội của ta vẫn đang chờ ta quay về. Chỉ cần Đại Quân Ác Ma Dimgar chưa bị tiêu diệt, ta sẽ không dừng lại."
您已完成了萌新限定招募，快去领取专属福利吧~,"Bạn đã hoàn thành chiêu mộ hạn giờ, hãy tới nhận phúc lợi độc quyền!"
"圣辉≥4个,敏攻≤1个","Hệ Kim ≥ 4, Tấn Công ≤ 1"
您每天玩手機遊戲花費的時間大概多長？,Mỗi ngày bạn dành bao nhiêu thời gian chơi game?
觉醒等级I-暴击,Kỹ năng Thức tỉnh I - Bạo kích
<color=#D39D0D>德古拉</color>在试炼内攻击力和暴击率提升<color=#bde155>38%</color><br/><color=#D39D0D>全体英雄</color>在试炼内攻击力提升<color=#bde141>28000</color>，最大生命值提升<color=#bde141>140000</color>,"<color=#D39D0D>Dracula</color> trong Thí Luyện, tăng <color=#bde141>38%</color> tấn công và bạo kích<br/><color=#D39D0D>Toàn bộ tướng</color> trong Thí Luyện, tăng <color=#bde141>28000</color> điểm tấn công và <color=#bde141>140000</color> điểm HP."
生命比例首次低于60%时免疫控制，最终免伤提升20%，攻击力提升20%，无法被驱散。持续2回合。,"Khi HP tướng <60% lần đầu, tăng 20% miễn khống chế, miễn sát thương cuối và 20% tấn công, không thể hóa giải. Duy trì 2 lượt."
巨大,To Lớn
注意！这次作战不可恋战，必须适可而止！,"Chú ý! Lần tác chiến này không được tham đánh, phải có chừng mực!"
龙纹徽记,Ký Hiệu Long Vân
勇士，您在%s区%s矿的开采已完成。本次开采耗时%s时%s分%s秒，您的开采已结束，请查收奖励,"Quá trình khai thác %s của bạn trong khu vực %s đã hoàn thành. Lần khai thác này mất %s giờ %s phút %s giây, vui lòng kiểm tra thành quả!"
通关<color=#bde141>250</color>层，挂机可掉落<color=#d39d0d>6星</color>装备,"Vượt ải tầng <color=#bde141>250</color>, treo máy có thể rớt trang bị <color=#aa5acf>6 sao</color>"
玫乐蒂·5星,Letty·5 sao
PVP战斗中，我方英雄前2回合受到持续伤害降低7%。,"Khi đấu PvP, trong 2 lượt đầu, giảm 7% sát thương liên tục đồng đội nhận phải"
"赏金猎人协会中级认证材料
通过上缴此道具，可提供20点升级经验","Chứng nhận trung cấp Hiệp Hội Thợ Săn Tiền Thưởng
Nộp vật phẩm này tăng 20 điểm EXP nâng cấp"
如何有效克制治疗？,Làm sao để giảm trị liệu hiệu quả?
增加8%抗暴率。,Tăng 8% kháng bạo.
莫莫大魔王,Quỷ Vương Momo
队伍挑战{0}{1}失败,Đội khiêu chiến {0} {1} thất bại
通灵师,Nhà Ngoại Cảm
皮埃尔积分本,Điểm Pierre
公爵,Công Tước
怎么回事？水晶呈现了紫色……进入戒备！信号兵就位，快！承光剑卫大人需要第一时间知道这里的情况……,"Chuyện gì đã xảy ra? Pha Lê hiện màu  tím ... cảnh giác! Quân lính báo hiệu tại chỗ, nhanh lên! Kiếm vệ đại nhân cần biết tình hình ở đây càng sớm càng tốt ..."
降疗III,Giảm Trị Liệu III
装备已达到最大强化等级。,Trang bị đã đạt cấp cường hoá tối đa.
"冥海≥3个,强攻≤2个","Hệ Thủy ≥ 3, Cường Công ≤ 2"
愤怒的克拉娜用触手束缚住莱尔德，并把他拖入海中。恶魔们迅速围了过来……,Krana tức giận trói Lyrd bằng những chiếc xúc tu và kéo anh ta xuống biển. Ác ma nhanh chóng vây quanh ...
"召唤鬼域海啸冲刷战场,对敌方全体造成83%魔法伤害,同时对敌方攻击最高目标施加【寒潮】，持续2回合。","Gây cho toàn bộ địch 83% sát thương phép, đồng thời gây [Hàn Khí] cho địch có tấn công cao nhất, duy trì 2 lượt."
通关圣剑之辉第1章,Vượt ải Thánh Kiếm Huy chương 1
站住，可恶……我一定会抓住你，弄清楚这一切！,"Đứng lại, đáng ghét….ta sẽ bắt được ngươi, làm rõ mọi việc!"
